ransomware_type,looped,length,count
white,5,18,5
paduaCryptoWall,17,64,23
montrealCryptoLocker,96,142,96
montrealCryptoLocker,26,18,58
montrealCryptoLocker,24,14,27
white,115,20,115
montrealCryptoLocker,171,74,321
white,8,62,8
paduaCryptoWall,6,8,6
montrealCryptoLocker,51,138,93
montrealCryptoLocker,32,10,36
white,451,144,451
white,12,12,12
white,5,10,12
montrealCryptoLocker,51,114,131
paduaCryptoWall,19,40,43
white,358,82,358
paduaCryptoWall,6,20,6
paduaCryptoWall,6,8,8
montrealCryptoLocker,41,62,128
white,11,94,11
montrealCryptoLocker,5,8,8
montrealCryptoLocker,23,20,29
white,114,144,287
white,31,26,37
white,18,70,18
white,19,78,19
white,24,40,24
paduaCryptoWall,27,46,28
montrealCryptoLocker,486,136,486
white,375,144,375
white,85,48,85
montrealCryptoLocker,35,112,55
white,12,8,12
montrealCryptoLocker,6,12,12
montrealCryptoLocker,50,78,56
montrealCryptoLocker,18,22,19
paduaCryptoWall,22,144,359
white,34,40,38
paduaCryptoWall,15,78,15
montrealCryptoLocker,10,56,139
montrealCryptoLocker,76,90,85
white,5,36,10
paduaCryptoWall,29,24,29
montrealCryptoLocker,23,46,51
montrealCryptoLocker,5,10,5
montrealCryptoLocker,14,48,89
white,451,144,451
white,380,144,407
paduaCryptoWall,5,14,7
paduaCryptoWall,8,12,9
montrealCryptoLocker,9,38,11
paduaCryptoWall,8,42,31
white,6,22,6
white,41,10,44
white,153,90,209
paduaCryptoWall,13,22,18
white,62,112,62
paduaCryptoWall,32,28,46
montrealCryptoLocker,9,42,64
white,113,24,131
montrealCryptoLocker,23,48,25
montrealCryptoLocker,16,28,18
white,14,132,15
white,21,40,22
paduaCryptoWall,13,34,18
white,409,144,409
white,8,12,8
montrealCryptoLocker,26,90,163
white,28,58,31
white,67,30,67
white,64,32,66
white,13,32,13
paduaCryptoWall,311,144,319
paduaCryptoWall,10,144,451
montrealCryptoLocker,10,144,212
white,6,8,6
montrealCryptoLocker,19,44,45
paduaCryptoWall,13,114,22
montrealCryptoLocker,19,34,68
paduaCryptoWall,5,94,5
paduaCryptoWall,15,62,27
white,134,98,144
white,370,144,375
montrealCryptoLocker,7,66,16
montrealCryptoLocker,5,26,5
paduaCryptoWall,40,144,40
paduaCryptoWall,13,90,24
montrealCryptoLocker,9,18,12
paduaCryptoWall,8,36,10
montrealCryptoLocker,50,60,50
montrealCryptoLocker,7,16,13
montrealCryptoLocker,7,62,147
montrealCryptoLocker,5,134,16
montrealCryptoLocker,19,104,52
paduaCryptoWall,8,78,9
montrealCryptoLocker,16,84,67
white,430,144,444
paduaCryptoWall,15,36,29
white,8,16,8
montrealCryptoLocker,6,12,33
paduaCryptoWall,14,60,15
montrealCryptoLocker,34,112,266
paduaCryptoWall,16,60,34
montrealCryptoLocker,36,142,39
white,8,10,8
white,11,30,11
paduaCryptoWall,6,94,18
montrealCryptoLocker,34,138,293
white,30,14,32
paduaCryptoWall,14,52,20
white,43,10,43
montrealCryptoLocker,9,22,10
white,9,18,9
paduaCryptoWall,23,92,23
white,340,144,345
white,24,14,26
white,7,50,7
montrealCryptoLocker,6,18,7
montrealCryptoLocker,9,88,75
paduaCryptoWall,318,144,322
white,51,16,51
montrealCryptoLocker,38,118,40
paduaCryptoWall,11,94,11
white,6,10,6
white,430,144,450
montrealCryptoLocker,5,14,33
montrealCryptoLocker,5,130,7
montrealCryptoLocker,5,20,14
white,19,42,19
white,378,132,378
white,407,144,407
montrealCryptoLocker,26,144,343
paduaCryptoWall,6,76,12
paduaCryptoWall,14,32,19
white,5,14,6
montrealCryptoLocker,292,140,294
white,15,14,15
montrealCryptoLocker,5,8,6
montrealCryptoLocker,286,140,292
white,211,144,211
paduaCryptoWall,12,110,14
paduaCryptoWall,252,138,256
paduaCryptoWall,97,82,98
montrealCryptoLocker,5,10,7
montrealCryptoLocker,5,8,5
white,336,116,336
paduaCryptoWall,10,8,21
paduaCryptoWall,438,144,438
montrealCryptoLocker,11,26,12
montrealCryptoLocker,5,20,9
montrealCryptoLocker,17,36,86
white,37,94,40
white,10,132,12
montrealCryptoLocker,14,144,456
montrealCryptoLocker,116,138,247
white,14,54,90
white,49,6,50
white,451,144,451
white,5,26,14
white,388,144,499
montrealCryptoLocker,23,88,89
paduaCryptoWall,424,144,425
